City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
306,Yinchuan,CN,80.08,overcast clouds,38.4681,106.2731,JJ Inns - Yinchuan New Moon Square Branch
307,Boueni,YT,76.98,clear sky,-12.9025,45.0761,The feet in water
313,Jiwani,PK,82.69,broken clouds,25.05,61.7417,Al Mumtaz Transport Jiwani
318,Bengkulu,ID,81.73,clear sky,-3.8004,102.2655,Grage Hotel Bengkulu
322,Pozo Colorado,PY,77.41,clear sky,-23.4923,-58.7972,Hospedaje la Amistad
323,Itaituba,BR,81.91,overcast clouds,-4.2761,-55.9836,Hotel Campos
324,Awbari,LY,78.12,clear sky,26.5921,12.7805,فندق أوباري
325,Dauphin,CA,75.34,clear sky,51.1494,-100.0502,Canway Inn & Suites
326,Cayenne,GF,80.1,light rain,4.9333,-52.3333,Hôtel Le Dronmi
328,Atasu,KZ,83.28,scattered clouds,48.6814,71.6433,Dostyk
331,Sukumo,JP,82.54,overcast clouds,32.9333,132.7333,Sukumojo
333,Zarubino,RU,78.57,few clouds,42.63,131.0922,"""Okean"" Baza Otdykha"
334,Faanui,PF,78.76,few clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
338,Morant Bay,JM,80.22,overcast clouds,17.8815,-76.4093,Whispering Bamboo Cove Resort
339,Ozark,US,83.39,clear sky,37.0209,-93.206,Americas Best Value Inn Ozark Springfield
341,Buala,SB,77.97,light rain,-8.145,159.5921,Maringe Lagoon Lodge
344,Venezuela,VE,76.3,overcast clouds,8.0,-66.0,
345,Tura,IN,79.0,moderate rain,25.5198,90.2201,Hotel RIKMAN Continental
347,Shetpe,KZ,76.3,broken clouds,44.1667,52.1167,Rtsm Shetpe Analog
348,Isangel,VU,86.11,broken clouds,-19.55,169.2667,Tanna Lodge
350,Gravelbourg,CA,80.87,clear sky,49.8834,-106.5512,Historic Bishops Residence Bed & Breakfast
354,Broome,US,75.45,scattered clouds,42.2506,-75.833,Chenango Valley State Park
355,Tabas,IR,88.27,clear sky,33.5959,56.9244,شرکت معماری مهراز شایگان آراد
356,Shizukuishi,JP,84.97,scattered clouds,39.6833,140.9833,Hotel Taikan
357,Niono,ML,84.27,overcast clouds,14.2526,-5.993,Hôtel Campement
358,Nishihara,JP,85.68,mist,26.1842,127.7558,Minshuku Agaihama
359,Nicolas Bravo,MX,78.26,broken clouds,18.45,-88.9167,
360,Hirara,JP,86.27,broken clouds,24.8,125.2833,Hotel Atoll Emerald Miyakojima
362,Harper,LR,75.16,overcast clouds,4.375,-7.7169,Screensaver
