City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
139,Paita,PE,-5.0892,-81.1144,65.26,85,39,8.28,scattered clouds
140,Taiyuan,CN,37.8694,112.5603,78.66,61,0,4.47,clear sky
141,Sept-Iles,CA,50.2001,-66.3821,61.32,93,75,1.99,broken clouds
142,Araouane,ML,18.9048,-3.5265,88.32,43,25,13.87,scattered clouds
143,Saint-Pierre,RE,-21.3393,55.4781,65.88,82,75,9.22,broken clouds
144,Bambous Virieux,MU,-20.3428,57.7575,70.05,78,40,8.05,scattered clouds
145,Umm Kaddadah,SD,13.6017,26.6876,80.94,57,91,6.2,overcast clouds
146,Waddan,LY,29.1614,16.139,72.01,67,0,3.18,clear sky
147,Fairbanks,US,64.8378,-147.7164,67.96,59,90,6.91,overcast clouds
148,Verkhniy Rohachyk,UA,47.2505,34.338,69.64,59,85,6.42,overcast clouds
149,Orotukan,RU,62.2667,151.7,62.67,80,100,7.43,light rain
150,Tasiilaq,GL,65.6145,-37.6368,42.96,97,100,2.86,overcast clouds
151,Boqueirao,BR,-7.5,-36.1333,69.35,94,1,4.43,clear sky
152,Sao Joaquim,BR,-28.2939,-49.9317,47.95,70,25,3.4,scattered clouds
153,Nizhniy Kuranakh,RU,58.8353,125.4869,70.0,70,100,4.0,overcast clouds
154,Kloulklubed,PW,7.0419,134.2556,84.18,78,100,11.56,overcast clouds
155,Kumluca,TR,36.3703,30.2869,81.19,58,0,3.8,clear sky
156,Alofi,NU,-19.0595,-169.9187,82.29,74,14,8.05,few clouds
157,Avera,US,33.194,-82.5271,82.71,59,96,6.24,overcast clouds
158,Inirida,CO,3.8653,-67.9239,72.88,98,100,1.23,overcast clouds
159,Filingue,NE,14.3521,3.3168,83.95,60,13,7.81,few clouds
160,Heiligenhafen,DE,54.3667,10.9833,70.95,87,100,13.2,overcast clouds
161,Rio Grande,BR,-32.035,-52.0986,60.51,79,98,8.9,overcast clouds
162,Hovd,MN,48.0056,91.6419,69.24,45,15,5.5,few clouds
163,Saint-Philippe,RE,-21.3585,55.7679,65.79,74,37,6.67,scattered clouds
164,Kiruna,SE,67.8557,20.2251,43.72,93,20,3.44,few clouds
165,Huarmey,PE,-10.0681,-78.1522,64.02,84,71,5.35,broken clouds
166,Pangnirtung,CA,66.1451,-65.7125,47.73,88,100,11.3,moderate rain
167,Labuhan,ID,-6.8844,112.2051,81.28,66,3,5.95,clear sky
168,Najran,SA,17.4924,44.1277,79.45,44,9,3.47,clear sky
169,Kasimov,RU,54.9411,41.3953,54.79,72,62,2.3,broken clouds
170,Kodiak,US,57.79,-152.4072,56.71,82,75,8.05,broken clouds
171,Berdigestyakh,RU,62.0989,126.6992,73.51,43,0,13.42,clear sky
172,Pallasovka,RU,50.05,46.8833,67.03,57,94,6.91,overcast clouds
173,Cidreira,BR,-30.1811,-50.2056,61.3,78,24,7.61,few clouds
174,San Patricio,US,28.017,-97.5169,88.48,71,2,12.62,clear sky
175,Khuzhir,RU,53.1939,107.3397,54.61,82,33,2.28,scattered clouds
176,Lorengau,PG,-2.0226,147.2712,84.85,66,26,5.12,scattered clouds
177,Rossland,CA,49.0831,-117.8022,84.7,27,0,1.99,clear sky
178,Adrar,MR,20.5022,-10.0711,91.24,21,95,9.6,overcast clouds
179,Sur,OM,22.5667,59.5289,88.18,61,73,8.52,broken clouds
180,Esperance,AU,-33.8667,121.9,55.24,66,100,18.05,overcast clouds
181,Guerrero Negro,MX,27.9769,-114.0611,70.34,80,100,15.08,overcast clouds
182,Kasongo-Lunda,CD,-6.4667,16.8167,65.26,39,0,0.98,clear sky
183,Mareeba,AU,-17.0,145.4333,79.45,62,89,4.5,overcast clouds
184,North Platte,US,41.1239,-100.7654,84.99,53,1,1.01,clear sky
185,Okhotsk,RU,59.3833,143.3,55.9,95,100,13.27,light rain
186,San Juan,AR,-31.5375,-68.5364,51.73,41,0,10.33,clear sky
187,Ankazoabo,MG,-22.2833,44.5167,55.08,76,1,11.77,clear sky
188,Norman Wells,CA,65.282,-126.8329,69.84,35,75,10.36,broken clouds
189,Tyler,US,32.3513,-95.3011,87.85,74,1,5.75,clear sky
190,Arlit,NE,18.7369,7.3853,93.36,33,83,9.08,broken clouds
191,Havoysund,NO,70.9963,24.6622,45.48,81,100,17.49,overcast clouds
192,Nanortalik,GL,60.1432,-45.2371,42.66,95,97,9.95,overcast clouds
193,Severo-Kurilsk,RU,50.6789,156.125,57.61,89,98,2.15,overcast clouds
194,Poum,NC,-20.2333,164.0167,73.69,74,23,4.29,few clouds
195,Ati,TD,13.2154,18.3353,84.27,58,100,9.08,overcast clouds
196,Hauge,NO,58.3436,6.2812,63.59,80,0,7.14,clear sky
197,Emmaus,US,40.5395,-75.4968,77.65,69,1,8.05,clear sky
198,Sidi Ali,DZ,36.0998,0.4206,81.37,33,99,11.3,overcast clouds
199,Saint George,US,37.1041,-113.5841,84.54,54,1,1.01,clear sky
200,Georgetown,MY,5.4112,100.3354,84.88,86,20,3.0,few clouds
201,Lugovoy,KZ,42.9472,72.7644,84.29,21,0,3.42,clear sky
202,Antsohihy,MG,-14.8796,47.9875,64.8,70,40,6.91,scattered clouds
203,Lisakovsk,KZ,52.5369,62.4936,64.69,72,0,7.61,clear sky
204,Ponta Do Sol,PT,32.6667,-17.1,73.0,77,0,2.82,clear sky
205,Soria,ES,41.6667,-2.6667,55.0,79,0,3.27,clear sky
206,Aitape,PG,-3.1374,142.3475,75.65,96,100,4.81,light rain
207,Khatanga,RU,71.9667,102.5,60.1,47,85,22.55,overcast clouds
208,Juybar,IR,36.6412,52.9124,80.76,81,62,4.27,broken clouds
209,Matara,LK,5.9485,80.5353,79.2,86,39,8.59,scattered clouds
210,Sabha,LY,27.0377,14.4283,77.49,32,0,12.97,clear sky
211,Rumoi,JP,43.9344,141.6428,83.39,64,78,4.56,broken clouds
212,Tiksi,RU,71.6872,128.8694,44.73,76,87,5.26,overcast clouds
213,Saint-Augustin,CA,51.226,-58.6502,52.83,81,30,6.71,scattered clouds
214,Puqi,CN,29.7167,113.8833,85.32,70,1,4.88,clear sky
215,Ambilobe,MG,-13.2,49.05,64.45,76,70,3.04,broken clouds
216,San Carlos Del Zulia,VE,9.0,-71.9135,81.03,75,100,3.24,overcast clouds
217,Loukhi,RU,66.0764,33.0381,53.91,80,94,7.54,overcast clouds
218,Lafiagi,NG,8.8667,5.4167,71.02,96,43,3.65,scattered clouds
219,Kuito,AO,-12.3833,16.9333,49.24,43,0,3.36,clear sky
220,Minot,US,48.2325,-101.2963,85.19,28,1,8.05,clear sky
221,Krasnokamensk,RU,50.0979,118.0369,65.39,70,81,8.99,broken clouds
222,Shwebo,MM,22.5667,95.7,81.77,73,100,10.54,light rain
223,Los Llanos De Aridane,ES,28.6585,-17.9182,69.12,72,40,12.66,scattered clouds
224,Quatre Cocos,MU,-20.2078,57.7625,69.91,74,71,15.55,broken clouds
225,Balod,IN,20.73,81.2047,78.44,81,96,12.97,overcast clouds
226,Hofn,IS,64.2539,-15.2082,51.96,85,5,9.8,clear sky
227,Haimen,CN,23.1935,116.6142,89.49,69,15,8.21,few clouds
228,Anloga,GH,5.7947,0.8973,75.42,79,89,11.3,overcast clouds
229,Julio De Castilhos,BR,-29.2269,-53.6817,68.38,71,82,7.18,broken clouds
230,Kungurtug,RU,50.5994,97.5228,60.78,86,100,1.74,overcast clouds
231,Fukue,JP,32.6881,128.8419,80.96,78,75,6.91,light rain
232,Mehnagar,IN,25.8833,83.1167,82.42,72,8,11.27,clear sky
233,Yarmouth,US,41.7057,-70.2286,71.1,80,1,4.61,clear sky
234,Mildura,AU,-34.2,142.15,53.56,66,41,14.97,scattered clouds
235,Elizabeth City,US,36.2946,-76.2511,77.05,73,1,5.75,clear sky
236,Manbij,SY,36.5281,37.9549,75.97,74,0,9.48,clear sky
237,Rayong,TH,12.8333,101.4333,83.95,99,100,11.05,light rain
238,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,70.39,68,20,8.95,few clouds
239,Patnanungan,PH,14.7833,122.1833,83.66,79,100,23.42,overcast clouds
240,Ajdabiya,LY,30.7554,20.2263,75.81,67,0,8.57,clear sky
241,Lima,PE,-12.0432,-77.0282,61.05,77,90,10.36,overcast clouds
242,Sarakhs,IR,36.5449,61.1577,77.14,29,0,0.0,clear sky
243,Lindi,TZ,-10.0,39.7167,67.21,61,1,11.16,clear sky
244,Alice Springs,AU,-23.7,133.8833,58.55,36,91,12.66,overcast clouds
245,Gweta,BW,-20.1833,25.2333,48.38,61,0,11.16,clear sky
246,Ancud,CL,-41.8697,-73.8203,36.93,81,100,3.09,overcast clouds
247,Puro,PH,12.4841,123.3827,84.63,73,100,22.97,overcast clouds
248,Northam,GB,51.0333,-4.2167,64.65,93,98,6.04,overcast clouds
249,Chapais,CA,49.7834,-74.8492,69.58,52,100,12.46,overcast clouds
250,Kirakira,SB,-10.4544,161.9205,84.22,75,29,9.35,scattered clouds
251,Lysva,RU,58.1086,57.8053,49.15,94,6,3.89,clear sky
252,Krasnyy Chikoy,RU,50.3643,108.7512,71.26,54,0,0.98,clear sky
253,West Bay,KY,19.3667,-81.4167,84.27,78,20,1.01,few clouds
254,Piacabucu,BR,-10.4056,-36.4344,74.77,74,0,13.38,clear sky
255,Vao,NC,-22.6667,167.4833,72.14,81,14,8.32,few clouds
256,Kembe,CF,4.6228,21.8865,67.93,97,72,2.93,light rain
257,Dayong,CN,25.0209,118.2898,91.08,59,100,4.94,light rain
258,Vostok,RU,46.4856,135.8833,91.56,40,65,4.76,broken clouds
259,Klaksvik,FO,62.2266,-6.589,50.92,97,54,9.4,broken clouds
260,Palu,ID,-0.8917,119.8707,88.0,63,41,2.01,scattered clouds
261,Gacko,BA,43.1672,18.5353,57.33,59,18,2.77,few clouds
262,Los Amates,GT,15.2667,-89.1,74.89,92,44,1.25,scattered clouds
263,Saint-Georges,GD,12.0564,-61.7485,82.08,83,20,12.66,few clouds
264,Kavieng,PG,-2.5744,150.7967,84.24,71,11,7.76,few clouds
265,Camp Verde,US,34.5636,-111.8543,81.73,80,66,3.0,broken clouds
266,College,US,64.8569,-147.8028,67.95,59,75,11.5,broken clouds
267,Ponta Delgada,PT,37.7333,-25.6667,72.32,83,40,3.44,scattered clouds
268,Nicoya,CR,10.1483,-85.452,72.95,89,100,2.71,overcast clouds
269,Boa Vista,BR,2.8197,-60.6733,80.58,78,75,1.14,broken clouds
270,Arco,IT,45.9177,10.8867,74.95,85,13,4.81,few clouds
271,Cockburn Town,TC,21.4612,-71.1419,81.84,80,100,16.75,overcast clouds
272,Qaqortoq,GL,60.7167,-46.0333,45.1,96,89,2.44,overcast clouds
273,Mbanza-Ngungu,CD,-5.25,14.8667,64.08,86,1,6.42,clear sky
274,Camocim,BR,-2.9022,-40.8411,74.88,80,4,9.69,clear sky
275,Moron,AR,-34.6534,-58.6198,59.0,97,100,4.0,light rain
276,Port Hardy,CA,50.6996,-127.4199,62.78,82,75,8.05,broken clouds
277,Saint Stephen,GB,50.3333,-4.9,61.83,94,20,8.05,few clouds
278,Quelimane,MZ,-17.8786,36.8883,60.75,94,75,0.0,light rain
279,Lebu,CL,-37.6167,-73.65,50.94,85,96,23.55,moderate rain
280,Sobolevo,RU,54.4299,31.8996,52.72,87,0,4.41,clear sky
281,Gigmoto,PH,13.7796,124.39,85.98,73,100,13.73,overcast clouds
282,Geraldton,AU,-28.7667,114.6,58.12,88,90,6.91,overcast clouds
283,Fenoarivo Atsinanana,MG,-17.3667,49.4167,65.79,88,100,7.85,light rain
284,Kayerkan,RU,69.3497,87.7602,46.11,96,100,5.35,moderate rain
285,Gharo,PK,24.7424,67.5856,84.42,79,100,20.09,overcast clouds
286,El Coyote,MX,25.7,-103.2667,89.02,25,100,1.68,overcast clouds
287,Cedar City,US,37.6775,-113.0619,75.18,53,1,9.22,clear sky
288,Nizwa,OM,22.9333,57.5333,85.06,60,92,2.86,overcast clouds
289,Chake Chake,TZ,-5.2459,39.7666,74.52,72,1,19.04,clear sky
290,Palmares Do Sul,BR,-30.2578,-50.5097,61.09,69,7,5.57,clear sky
291,Brigantine,US,39.4101,-74.3646,75.99,74,1,6.91,clear sky
292,San Luis De Palenque,CO,5.4214,-71.7317,74.5,87,100,4.85,overcast clouds
293,Balkanabat,TM,39.5108,54.3671,81.3,79,0,6.91,clear sky
294,Haapiti,PF,-17.5667,-149.8667,74.93,70,41,6.33,light rain
295,Tabou,CI,4.423,-7.3528,75.2,72,93,5.26,overcast clouds
296,Mattru,SL,7.6244,-11.8332,71.4,96,95,1.63,overcast clouds
297,Mbandaka,CD,0.0487,18.2603,73.96,63,100,3.69,overcast clouds
298,Micheweni,TZ,-4.9667,39.8333,75.58,73,1,20.47,clear sky
299,Namatanai,PG,-3.6667,152.4333,84.94,68,9,2.37,clear sky
300,Ringebu,NO,61.5167,10.1667,59.49,92,77,2.24,broken clouds
301,Acapulco,MX,16.8634,-99.8901,81.82,82,9,6.55,clear sky
302,Vuktyl,RU,63.8567,57.3094,43.36,91,80,7.23,broken clouds
303,Pevek,RU,69.7008,170.3133,37.62,85,48,16.8,scattered clouds
304,Muroto,JP,33.2833,134.15,86.04,79,100,13.24,overcast clouds
305,Tete,MZ,-16.1564,33.5867,64.49,63,40,3.44,scattered clouds
306,Yinchuan,CN,38.4681,106.2731,80.08,53,100,4.79,overcast clouds
307,Boueni,YT,-12.9025,45.0761,76.98,66,1,20.4,clear sky
308,Yulara,AU,-25.2406,130.9889,60.64,33,64,9.22,broken clouds
309,Boden,SE,65.8252,21.6886,53.6,85,30,2.44,scattered clouds
310,Saldanha,ZA,-33.0117,17.9442,46.45,47,100,10.71,overcast clouds
311,Xining,CN,36.6167,101.7667,64.62,89,100,4.21,overcast clouds
312,Barstow,US,34.8986,-117.0228,99.59,20,87,13.04,overcast clouds
313,Jiwani,PK,25.05,61.7417,82.69,82,73,6.17,broken clouds
314,Olinda,BR,-8.0089,-34.8553,71.33,83,40,4.61,scattered clouds
315,Tsabong,BW,-26.0217,22.401,42.62,51,0,11.83,clear sky
316,Hit,IQ,33.6416,42.8251,91.69,26,0,8.55,clear sky
317,Marienburg,PL,54.0359,19.0266,64.96,75,92,5.03,overcast clouds
318,Bengkulu,ID,-3.8004,102.2655,81.73,67,1,1.21,clear sky
319,Lavumisa,SZ,-27.31,31.892,46.09,82,6,3.67,clear sky
320,Constitucion,CL,-35.3333,-72.4167,51.53,88,100,15.66,overcast clouds
321,Aasiaat,GL,68.7098,-52.8699,38.08,94,95,8.25,overcast clouds
322,Pozo Colorado,PY,-23.4923,-58.7972,77.41,38,1,8.05,clear sky
323,Itaituba,BR,-4.2761,-55.9836,81.91,49,97,0.85,overcast clouds
324,Awbari,LY,26.5921,12.7805,78.12,24,0,7.94,clear sky
325,Dauphin,CA,51.1494,-100.0502,75.34,43,1,12.66,clear sky
326,Cayenne,GF,4.9333,-52.3333,80.1,85,20,0.0,light rain
327,Kruisfontein,ZA,-34.0033,24.7314,46.51,39,14,8.88,few clouds
328,Atasu,KZ,48.6814,71.6433,83.28,24,41,10.18,scattered clouds
329,Margate,GB,51.3813,1.3862,64.69,91,87,1.99,overcast clouds
330,Kamenka,RU,51.3223,42.7678,62.65,68,100,6.06,overcast clouds
331,Sukumo,JP,32.9333,132.7333,82.54,71,100,8.81,overcast clouds
332,Rey Bouba,CM,8.6724,14.1786,71.22,95,100,2.57,overcast clouds
333,Zarubino,RU,42.63,131.0922,78.57,80,11,9.4,few clouds
334,Faanui,PF,-16.4833,-151.75,78.76,67,19,10.45,few clouds
335,Ulaangom,MN,49.9811,92.0667,70.68,52,99,4.76,overcast clouds
336,Rivne,UA,50.6231,26.2274,60.84,71,13,4.52,few clouds
337,Porteirinha,BR,-15.7433,-43.0283,62.22,64,0,8.52,clear sky
338,Morant Bay,JM,17.8815,-76.4093,80.22,84,85,3.13,overcast clouds
339,Ozark,US,37.0209,-93.206,83.39,81,4,2.77,clear sky
340,Morondava,MG,-20.2833,44.2833,68.04,61,5,15.48,clear sky
341,Buala,SB,-8.145,159.5921,77.97,89,100,5.88,light rain
342,Iskateley,RU,67.6803,53.1512,46.17,90,100,11.59,overcast clouds
343,Camacha,PT,33.0833,-16.3333,69.53,78,40,10.36,scattered clouds
344,Venezuela,VE,8.0,-66.0,76.3,90,100,5.48,overcast clouds
345,Tura,IN,25.5198,90.2201,79.0,90,89,6.58,moderate rain
346,Biharamulo,TZ,-2.6319,31.3089,59.58,49,10,4.03,clear sky
347,Shetpe,KZ,44.1667,52.1167,76.3,57,54,11.52,broken clouds
348,Isangel,VU,-19.55,169.2667,86.11,70,75,5.75,broken clouds
